code,time,media,condition,treatment,trace,date,psu
TE,9,M9,aerobic,none,TE,24Jun24,-19
TE,9,M9,aerobic,none,TE,24Jun24,-19.2
TE,12,M9,aerobic,none,TE,24Jun24,-13.8
TE,12,M9,aerobic,none,TE,24Jun24,-18.4
TE,24,M9,aerobic,none,TE,24Jun24,-4.7
TE,24,M9,aerobic,none,TE,24Jun24,-9.6
M9_HP,0,M9,anaerobic,high purity,none,25Sep24,16.09791791
M9_HP,0,M9,anaerobic,high purity,none,25Sep24,12.6854254
M9_HP,3,M9,anaerobic,high purity,none,25Sep24,16.07796182
M9_HP,3,M9,anaerobic,high purity,none,25Sep24,15.69879598
M9_HP,6,M9,anaerobic,high purity,none,25Sep24,18.63234218
M9_HP,6,M9,anaerobic,high purity,none,25Sep24,15.5990155
M9_HP,9,M9,anaerobic,high purity,none,25Sep24,20.90733719
M9_HP,9,M9,anaerobic,high purity,none,25Sep24,18.23322025
M9_HP,12,M9,anaerobic,high purity,none,25Sep24,22.9
M9_HP,12,M9,anaerobic,high purity,none,25Sep24,19.0
M9_HP,15,M9,anaerobic,high purity,none,25Sep24,19.1312446
M9_HP,15,M9,anaerobic,high purity,none,25Sep24,22.52378102
M9_HP,18,M9,anaerobic,high purity,none,25Sep24,21.64571277
M9_HP,18,M9,anaerobic,high purity,none,25Sep24,17.63453735
M9_HP,21,M9,anaerobic,high purity,none,25Sep24,22.66347369
M9_HP,21,M9,anaerobic,high purity,none,25Sep24,16.13783011
M9_HP,24,M9,anaerobic,high purity,none,25Sep24,28.4507417
M9_HP,24,M9,anaerobic,high purity,none,25Sep24,10.80955232
HP_Fe/Mo_12,15,M9,anaerobic,high purity,Fe/Mo_12h,25Sep24,13.66992616
HP_Fe/Mo_12,15,M9,anaerobic,high purity,Fe/Mo_12h,25Sep24,14.90720415
HP_Fe/Mo_12,18,M9,anaerobic,high purity,Fe/Mo_12h,25Sep24,11.1
HP_Fe/Mo_12,18,M9,anaerobic,high purity,Fe/Mo_12h,25Sep24,13.17102375
HP_Fe/Mo_12,21,M9,anaerobic,high purity,Fe/Mo_12h,25Sep24,10.5
HP_Fe/Mo_12,21,M9,anaerobic,high purity,Fe/Mo_12h,25Sep24,14.48812612
HP_Fe/Mo,0,M9,anaerobic,high purity,Fe/Mo,25Sep24,3.073238874
HP_Fe/Mo,3,M9,anaerobic,high purity,Fe/Mo,25Sep24,1.257234085
HP_Fe/Mo,6,M9,anaerobic,high purity,Fe/Mo,25Sep24,3.412492516
HP_Fe/Mo,9,M9,anaerobic,high purity,Fe/Mo,25Sep24,3.891438835
HP_Fe/Mo,12,M9,anaerobic,high purity,Fe/Mo,25Sep24,-2.6
HP_Fe/Mo,15,M9,anaerobic,high purity,Fe/Mo,25Sep24,-1.337058471
HP_Fe/Mo,18,M9,anaerobic,high purity,Fe/Mo,25Sep24,0.2
HP_Fe/Mo,21,M9,anaerobic,high purity,Fe/Mo,25Sep24,-3.7
HP_Fe/Mo,24,M9,anaerobic,high purity,Fe/Mo,25Sep24,-6.266214328
TE,0,M9,anaerobic,none,TE,25Sep24,2.487860041
TE,3,M9,anaerobic,none,TE,25Sep24,-5.734051753
TE,6,M9,anaerobic,none,TE,25Sep24,-10.76298809
TE,9,M9,anaerobic,none,TE,25Sep24,-10.32395397
TE,12,M9,anaerobic,none,TE,25Sep24,-1.3
TE,15,M9,anaerobic,none,TE,25Sep24,-5.853788332
TE,18,M9,anaerobic,none,TE,25Sep24,-4.75620302
TE,21,M9,anaerobic,none,TE,25Sep24,-4.576598151
TE,24,M9,anaerobic,none,TE,25Sep24,-4.63646644
