Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
mdh_2,Fermentation,242384E_coliDH5_03876,1.480791408,32.91275104,11.69403341,0.00000001193476613,0.0000003671134063,10.14580882,15,13.23201022,0.0000000008753966941,0.00000003543052936,Significant,9.057795098
pykA,Fermentation,242384E_coliDH5_02263,0.8543026214,31.26508437,9.549524249,0.0000001538799866,0.000003086966339,7.491383343,16,12.02814278,0.000000003338700952,0.0000001114608916,Not Significant,8.476422479
icd_1,Fermentation,242384E_coliDH5_03204,1.395469325,33.53582621,9.326556279,0.0000002057769309,0.00000398930571,7.188937276,44,10.52844442,0.00000002081248223,0.0000005162838333,Significant,7.68167612
grcA,Fermentation,242384E_coliDH5_01504,4.750573459,30.65377709,9.716411597,0.0000001242082993,0.000002678612909,7.714247355,4,10.1192052,0.00000003552684083,0.0000008114893247,Significant,7.44944341
adhE,Fermentation,242384E_coliDH5_02207,-0.6863444635,33.54770993,-5.941309626,0.0000348223549,0.0002625332443,1.850395673,57,-7.189389538,0.000002790509633,0.0000279061375,Not Significant,5.554316474
pta,Fermentation,242384E_coliDH5_01047,0.5213086202,30.76893677,4.648788496,0.0003681781804,0.00175844951,-0.5817758029,17,5.435250628,0.00006432693808,0.0003957393231,Not Significant,4.19160712
ppc,Fermentation,242384E_coliDH5_02880,0.4634897102,32.72515586,4.061186625,0.001149398721,0.004556121732,-1.743123722,43,4.901338504,0.0001813379473,0.0009639323606,Not Significant,3.741511305
aceF,Fermentation,242384E_coliDH5_01238,-0.4570623964,31.86653071,-3.92713022,0.001496781559,0.005614756189,-2.01077313,22,-4.603545667,0.0003279756261,0.001569812889,Not Significant,3.48415843
lpdA,Fermentation,242384E_coliDH5_01239,0.443855294,31.65446057,3.783006258,0.001990917903,0.006999854303,-2.299021034,28,4.465942339,0.0004326236774,0.001956985929,Not Significant,3.363889715
adhP,Fermentation,242384E_coliDH5_00391,-1.162034489,21.48804651,-3.402548479,0.004247361376,0.01296119404,-3.059376716,1,-3.294586566,0.004804493711,0.01399490782,Significant,2.318352371
