Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
ygfZ,Other,242384E_coliDH5_02619,-0.615996065,29.70127952,-5.181513057,0.0001356413345,0.0005860010461,0.4202454257,11,-5.830675068,0.00003057097877,0.0001519983793,Not Significant,4.514690657
maeA,Other,242384E_coliDH5_00392,0.6159039214,28.45001823,5.446040036,0.00008373996813,0.0003887084637,0.9181621479,5,5.809644056,0.00003178803808,0.0001577096857,Not Significant,4.497736275
rsmJ,Other,242384E_coliDH5_04172,-2.735130143,22.83628486,-5.789697381,0.00004538958261,0.0002276386241,1.551899158,1,-5.796054249,0.0000326011657,0.0001613967581,Significant,4.486766871
malZ,Other,242384E_coliDH5_02684,1.257410558,23.34213057,6.90987947,0.000006903622541,0.00004726011039,3.507993723,1,5.77804666,0.00003371205151,0.0001664032082,Significant,4.472214818
amiB,Other,242384E_coliDH5_00783,2.110056642,24.28118238,5.935493319,0.0000351761386,0.0001840166707,1.816096755,1,5.777335886,0.00003375669762,0.0001664032082,Significant,4.471640046
nadC,Other,242384E_coliDH5_01232,-0.806858668,27.82354166,-5.415567527,0.0000884819244,0.0004058206751,0.8612410079,6,-5.767182087,0.00003440124156,0.0001692189004,Not Significant,4.463425883
rpoA,Other,242384E_coliDH5_01529,0.7706649683,31.63329765,5.170792733,0.0001383456519,0.0005964240718,0.3998895129,20,5.75449538,0.00003522458045,0.0001729002279,Not Significant,4.453154171
ybgL,Other,242384E_coliDH5_00054,2.046333948,22.60856392,5.932822313,0.00003533986334,0.0001844548976,1.811282052,1,5.752201737,0.00003537560441,0.0001732292851,Significant,4.451296131
unknown,Other,242384E_coliDH5_01996,-0.7639272061,27.19267537,-5.85904691,0.00004019179463,0.0002054226899,1.677919866,2,-5.751199676,0.00003544179566,0.0001732292851,Not Significant,4.450484283
ydfZ,Other,242384E_coliDH5_00454,2.038564248,27.65089037,5.918835383,0.0000362103303,0.0001877241169,1.78605393,1,5.737538805,0.00003635710767,0.0001773273729,Significant,4.439410674
exoX,Other,242384E_coliDH5_02251,2.665495395,24.28015334,5.737368129,0.00004977401774,0.0002453603823,1.45638733,1,5.736314057,0.00003644035923,0.0001773584573,Significant,4.43841735
cysG,Other,242384E_coliDH5_01603,-0.773211788,27.23095713,-5.819563958,0.00004306986165,0.0002183783974,1.60625018,2,-5.724222378,0.0000372729897,0.0001810290258,Not Significant,4.428605771
araA,Other,242384E_coliDH5_01186,1.834585888,22.68167183,5.967703582,0.00003326305287,0.0001756015171,1.874083171,1,5.689048975,0.000039809212,0.0001929408657,Significant,4.400016419
hcr,Other,242384E_coliDH5_00214,5.328848378,23.73937623,5.511290635,0.00007445481203,0.0003491204296,1.039655079,1,5.683060196,0.00004025858563,0.0001947097632,Significant,4.395141487
nsrR,Other,242384E_coliDH5_00774,1.165269535,25.99463879,7.032558614,0.000005675718369,0.00003967843115,3.711862134,1,5.67663561,0.00004074651951,0.0001966573651,Significant,4.389909482
unknown,Other,242384E_coliDH5_01447,1.925146987,22.65759246,5.897512401,0.00003758074574,0.0001943153108,1.74754358,1,5.67424906,0.00004092933316,0.0001971272893,Significant,4.387965331
nasD,Other,242384E_coliDH5_01600,2.996467642,29.59029452,5.461382933,0.00008145332417,0.0003796218563,0.9467779502,2,5.666244099,0.00004154876855,0.0001996937688,Significant,4.381441844
