Gene,Category,Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,significance,log.sca.pval
hisP,Other,242384E_coliDH5_01056,0.4422658537,24.84427769,1.959419043,0.07011857526,0.1309826341,-5.782755422,1,1.750841868,0.0999918575,0.1764967217,Not Significant,1.000035364
ppiC,Other,242384E_coliDH5_03381,0.3163422868,27.28664127,1.692110837,0.1125747105,0.1932365008,-6.203911589,3,1.746860685,0.1006995215,0.1776099359,Not Significant,0.996972593
yghA,Other,242384E_coliDH5_03934,0.2793384266,29.17617417,1.619856378,0.1273840846,0.2132620343,-6.310872975,10,1.742660589,0.1014508516,0.1787065697,Not Significant,0.9937443032
unknown,Other,242384E_coliDH5_02178,1.035456673,22.00918144,1.714939061,0.1082190047,0.1877152209,-6.169473184,1,1.74251933,0.1014762056,0.1787065697,Not Significant,0.9936357804
tolQ,Other,242384E_coliDH5_00079,-0.3218339958,26.24189631,-1.713547186,0.1084802887,0.1878859054,-6.171581623,2,-1.732638947,0.1032634192,0.1817152618,Not Significant,0.9860534987
tehA,Other,242384E_coliDH5_03830,-0.5746753071,21.7165541,-1.804859875,0.09246998956,0.1654990426,-6.030936627,1,-1.730093032,0.1037283738,0.1823498234,Not Significant,0.9841024308
moaE,Other,242384E_coliDH5_00127,0.5341141245,27.25656859,1.678759861,0.1151924971,0.1962696387,-6.223911189,2,1.729799459,0.1037821058,0.1823498234,Not Significant,0.9838775214
uspE,Other,242384E_coliDH5_04294,0.6567319081,28.59670836,1.651901309,0.1206198229,0.203296603,-6.263823853,8,1.728193062,0.104076552,0.1827280102,Not Significant,0.9826471042
ubiB,Other,242384E_coliDH5_03322,-0.4473572613,24.40820004,-1.912869335,0.07627327449,0.1408826615,-5.858773531,1,-1.724887056,0.1046848268,0.1836561943,Not Significant,0.9801162611
cysC,Other,242384E_coliDH5_01825,0.4258171958,26.82063755,1.675620203,0.1158157581,0.1970405265,-6.22859905,2,1.716573936,0.1062280965,0.186096478,Not Significant,0.9737606007
